 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313740 Lagoa Dourada
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";444;435;879
"De 5 a 9 anos";477;470;947
"De 10 a 14 anos";542;511;1053
"De 15 a 19 anos";572;527;1099
"De 20 a 24 anos";564;504;1068
"De 25 a 29 anos";563;492;1055
"De 30 a 34 anos";587;513;1100
"De 35 a 39 anos";516;453;969
"De 40 a 44 anos";426;381;807
"De 45 a 49 anos";414;394;808
"De 50 a 54 anos";373;377;750
"De 55 a 59 anos";307;299;606
"De 60 a 64 anos";249;217;466
"De 65 a 69 anos";188;176;364
"De 70 a 74 anos";128;153;281
"De 75 a 79 anos";95;106;201
"De 80 anos ou mais";104;104;208
"Total";6549;6112;12661
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

